TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;INVEST_COLETIVO;INVEST_COLETIVO_GESTOR;EMISSOR;DT_VENC;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC;CD_ATIVO_BV_MERC;RISCO_EMISSOR;AG_RISCO;DT_RISCO;GRAU_RISCO;DS_ATIVO_EXTERIOR;QT_ATIVO_EXTERIOR;VL_ATIVO_EXTERIOR
FI;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Outros;N;Para negociação;;;;;5837.140000;31514502.14;;;S;N;OPP TEMPUS FOF2;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;OPPTFOF2;N;;;;;;
FI;00.083.181/0001-67;OPP I FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Outros;N;Para negociação;;;;;2928.080000;21820143.92;;;S;N;TEMPUS OPP 1 CLASS;;CYM;ILHAS CAYMAN;99;Outras bolsas ou mercados de balcão organizados;OPPTEMP1;N;;;;;;
FI;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Ação ordinária;N;Para negociação;;;;;9600.000000;5373175.68;;;N;N;ALIBABA GROUP HOLDING LTD;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;BABA US;N;;;;;;
FI;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Ação ordinária;N;Para negociação;;;;;20500.000000;10737844.04;;;N;N;AMAZON.COM INC;;USA;ESTADOS UNIDOS DA AMÉRICA;A11;NASDAQ STOCK MARKET;AMZN;N;;;;;;
FI;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Ação ordinária;N;Para negociação;;;;;15895.000000;11299069.47;;;N;N;JP MORGAN CHASE  CO.;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;JPMC;N;;;;;;
FI;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;5560.000000;2820252.90;;;N;N;ALPHABET INC;;USA;ESTADOS UNIDOS DA AMÉRICA;A11;NASDAQ STOCK MARKET;GOOG US;N;;;;;;
FI;00.102.322/0001-41;BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR;2023-01-31;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;5580.000000;2801206.65;;;N;N;ALPHABET INC;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;GOOG;N;;;;;;
FI;00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO INVESTIMENTO;2023-01-31;Investimento no Exterior;Título da Dívida Externa;N;Para negociação;300000.000000;1533805.08;0.000000;0.00;10700000.000000;53933106.72;;;N;N;GOVERNO BRASILEIRO;2025-01-07;BRA;BRASIL;99;Outras bolsas ou mercados de balcão organizados;EJ9011747;N;;;;;;
FI;00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO INVESTIMENTO;2023-01-31;Investimento no Exterior;Título da Dívida Externa;N;Para negociação;0.000000;0.00;0.000000;0.00;2000000.000000;9726386.60;;;N;N;GOVERNO BRASILEIRO;2029-05-30;BRA;BRASIL;99;Outras bolsas ou mercados de balcão organizados;105756CA6;N;;;;;;
FI;00.638.573/0001-45;PAULA SOUZA FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;2023-01-31;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;80.000000;109596.69;;2023-05-01;N;N;ALIGN TECHNOLOGY INC;;USA;ESTADOS UNIDOS DA AMÉRICA;99;Outras bolsas ou mercados de balcão organizados;ALGN US;N;;;;;;
FI;00.638.573/0001-45;PAULA SOUZA FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;2023-01-31;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;820.000000;135313.70;;2023-05-01;N;N;ALLY FINANCIAL INC.;;USA;ESTADOS UNIDOS DA AMÉRICA;99;Outras bolsas ou mercados de balcão organizados;ALLY US;N;;;;;;
FI;00.638.573/0001-45;PAULA SOUZA FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;2023-01-31;Investimento no Exterior;Depository Receipt no Exterior(DR);N;Para negociação;;;;;1414.000000;48979.23;;2023-05-01;N;N;FARFETCH LTD;;USA;ESTADOS UNIDOS DA AMÉRICA;A12;NYSE EURONEXT;FTCH US;N;;;;;;
