TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;756.00;55528.20;5536.00;420057.12;158195.00;12475257.70;;;SBSP3;;;;;;;;1997-03-11;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2999.00;41806.06;21888.00;296140.68;468428.00;6398726.48;;;ASAI3;;;;;;;;2021-03-01;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;3996.00;246050.16;13776.00;817572.96;431661.00;23361493.32;;;RENT3;;;;;;;;2005-05-23;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2708.00;63638.00;19848.00;443242.44;824041.00;19002385.46;;;RAIL3;;;;;;;;2017-03-13;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;9766.00;133012.92;71296.00;955813.56;1795160.00;23480692.80;;;ABEV3;;;;;;;;2013-11-11;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;211.00;2310.45;1466.00;13987.84;33429.00;263754.81;;;BHIA3;;;;;;;;2023-09-20;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;1795.00;31143.25;13070.00;229484.00;475263.00;8241060.42;;;TIMS3;;;;;;;;2020-10-13;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;597.00;17002.56;4282.00;116925.40;149966.00;4178052.76;;;MULT3;;;;;;;;2007-07-27;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;580.00;4106.40;4280.00;29394.00;91960.00;629926.00;;;BEEF3;;;;;;;;2007-07-20;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2435.00;85103.25;17710.00;606054.90;392790.00;13916549.70;;;EQTL3;;;;;;;;2006-04-03;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;3293.00;115814.81;24058.00;816687.04;676230.00;21869278.20;;;WEGE3;;;;;;;;2004-08-02;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2212.00;30835.28;16172.00;218502.80;404584.00;5308142.08;;;CCRO3;;;;;;;;2002-02-01;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;910.00;32186.70;6660.00;218753.40;144114.00;4572737.22;;;HYPE3;;;;;;;;2008-04-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;12452.00;175075.12;90806.00;1234846.88;2507419.00;32822114.71;;;B3SA3;;;;;;;;2018-03-26;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;1335.00;24550.65;9710.00;170242.30;213438.00;3784255.74;;;CSNA3;;;;;;;;1993-08-02;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;8227.00;324308.34;60062.00;2346808.48;1653317.00;69703844.72;;;PETR3;;;;;;;;1973-09-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2114.00;35536.34;15484.00;248508.04;379292.00;6087636.60;;;LREN3;;;;;;;;1973-07-24;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2415.00;65518.95;17584.00;481950.60;511234.00;14401461.78;;;UGPA3;;;;;;;;1999-10-13;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;591.00;13427.52;4346.00;97706.50;105985.00;2369824.60;;;CYRE3;;;;;;;;1996-05-27;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;1633.00;35256.47;11898.00;259495.50;277387.00;6318875.86;;;EMBR3;;;;;;;;1989-08-28;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;524.00;14944.48;3844.00;110085.60;83711.00;2292007.18;;;RRRP3;;;;;;;;2020-11-12;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2477.00;55732.50;18062.00;411354.22;687420.00;16326225.00;;;VBBR3;;;;;;;;2021-10-22;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;2596.00;50440.28;18976.00;347166.08;786210.00;14364056.70;;;CSAN3;;;;;;;;2005-11-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;3728.00;47420.16;27268.00;372578.52;643206.00;8972723.70;;;BRFS3;;;;;;;;2009-12-10;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;836.00;8343.28;6116.00;51392.44;133092.00;1048764.96;;;MRVE3;;;;;;;;2007-07-23;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;4402.00;183475.36;32112.00;1316025.36;1238677.00;50550408.37;;;ELET3;;;;;;;;1983-09-01;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;9839.00;721493.87;71834.00;4992273.20;1987599.00;134679708.24;;;VALE3;;;;;;;;1982-02-15;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;1143.00;37181.79;8358.00;257781.78;243696.00;7681297.92;;;TOTS3;;;;;;;;2006-03-09;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;6372.00;13636.08;46538.00;92256.10;1023352.00;2149039.20;;;MGLU3;;;;;;;;2011-05-02;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;1881.00;30810.78;13686.00;231644.28;448702.00;7179232.00;;;NTCO3;;;;;;;;2019-12-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2024-01-31;598600;1381223860.40;AÇÕES;Ação ordinária;N;Para negociação;1493.00;49866.20;10958.00;377635.54;341612.00;11700211.00;;;BBSE3;;;;;;;;2013-04-29;;;;
