TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;S;;;;;;5986.785591;6839215.16;;;;;;PJ;42196288000161;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EXODUS INSTITUCIONA;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;S;;;;;;42324.859307;20329548.89;;;;;;PJ;34521809000180;SRM EXODUS PME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;S;;;;;;1801.641183;1835557.37;;;;;;PJ;42888478000140;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS JUVO - RESPONSABILIDADE LIMITADA;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;N;;;;;;1895.000000;1895000.00;;;;;;PJ;55912292000120;FUNDO DE INVESTIMENTO EM COTAS DE FI EM DIREITOS  CREDITORIOS SRM EXODUS - RESPONSABILIDADE LIMITADA;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;S;;;;;;0.001804;7325679.53;;;;;;PJ;11629795000118;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS EXODUS INSTITUCIONAL;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;S;;;;;;0.000038;749568.40;;;;;;PJ;14051028000162;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL - RESPONS. LIMITADA;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Cotas de Fundos;;S;;;;;;286.894245;0.01;;;;;;PJ;09584892000190;FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS EXODUS - D30;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Disponibilidades;Outros;N;Para negociação;;;;;;422166.64;;;;Disponibilidade;;;;;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Valores a pagar;Outros;N;Para negociação;;;;;;857633.25;;;;Valores a Pagar;;;;;;;;;;;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-07-31;716212;39557929.08;Valores a receber;Outros;N;Para negociação;;;;;;1018826.34;;;;Valores a Receber;;;;;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Títulos Públicos;;N;Para negociação;0.000000;0.00;800.000000;3505014.47;800.000000;3500588.94;;;;;2026-08-15;;;;;760199;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Títulos Públicos;;N;Para negociação;0.000000;0.00;800.000000;3499436.99;800.000000;3485570.33;;;;;2028-08-15;;;;;760199;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;S;;26551.802330;40000.00;1542163.572156;2332000.00;1847798.783013;2803836.14;;;;;;PJ;30509221000150;V8 CASH CLASSE DE INVESTIMENTO EM COTAS DE  CLASSE DE INVESTIMENTO RENDA FIXA - RESP LIMITADA;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;S;;5335870.501035;7005000.00;0.000000;0.00;86232732.529134;113725313.48;;;;;;PJ;36875515000182;BS INTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS MULTISSETORIAL;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;N;;0.000000;0.00;0.000000;0.00;2726.196943;668853.34;;;;;;PJ;42174080000141;RAM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;N;;0.000000;0.00;0.000000;0.00;2815.532251;1204330.60;;;;;;PJ;17012019000150;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS SIFRA PERFORMANCE;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;N;;0.000000;0.00;0.000000;0.00;13595.472578;25136852.41;;;;;;PJ;39722215000151;FIRMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  PADRONIZADOS I;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;S;;0.000000;0.00;0.000000;0.00;53085.372830;76430239.83;;;;;;PJ;41341254000150;BS PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;N;;0.000000;0.00;0.000000;0.00;33.436242;640961.82;;;;;;PJ;08654210000105;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;;;;;;;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-07-31;720620;248025439.26;Cotas de Fundos;;S;;0.000000;0.00;0.000000;0.00;10.000000;1209853.66;;;;;;PJ;11261368000120;FLUXASSET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;;;;;;;
