TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;207334682.83;;;Outros;999 X 999
CLASSES - FIF;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3424761.03;;;SDP;DI1 X PRE
CLASSES - FIF;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;189251951.34;;;Outros;999 X 999
CLASSES - FIF;02.885.730/0001-42;KONA FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;7725438.04;;;SDP;DI1 X PRE
CLASSES - FIF;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2014756.64;;2026-01-29;SBP;TBF X PRE
CLASSES - FIF;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;205362048.73;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;59520307.01;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;18285971.36;;2026-01-29;SDL;DI1 X IAP
CLASSES - FIF;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;250235228.54;;2026-01-29;SBD;SB1 X DI1
CLASSES - FIF;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3226607.29;;;SDE;DI1 X REU
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;163621813.93;;;SEP;REU X PRE
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;73671253.05;;;SCP;DOL X PRE
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;34044290.73;;;SCE;DOL X REU
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;31419358.12;;;SDL;DI1 X IAP
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;45412236.32;;;SDC;DI1 X DOL
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;337695726.87;;;Outros;999 X 999
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;418988048.10;;;Outros;999 X 999
CLASSES - FIF;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;160420103.42;;;SCP;DOL X PRE
