TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2026-01-31;Ações;3020679;4155093;9903005;;2026-07-30
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2026-01-31;Ações e outros TVM cedidos em empréstimo;;;1528434;;2026-07-30
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2026-01-31;Operações Compromissadas;;;565320;;2026-07-30
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2026-01-31;Valores a pagar;;;11486;;2026-07-30
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2026-01-31;Valores a receber;;;2326712;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Ações;44958575;38881086;173255124;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Ações e outros TVM cedidos em empréstimo;;;36103052;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Certificado ou recibo de depósito de valores mobiliários;0;0;11281943;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Disponibilidades;;;10002;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Mercado Futuro - Posições compradas;;;-78316;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Operações Compromissadas;;;8496290;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;91464;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Valores a pagar;;;2818550;;2026-07-30
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2026-01-31;Valores a receber;;;3443314;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Brazilian Depository Receipt - BDR;;;51648600;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Cotas de Fundos;;;219192862;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Disponibilidades;;;6836529;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Investimento no Exterior;54006424;48759979;66939553;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Mercado Futuro - Posições compradas;59343601;36956851;-297606;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Mercado Futuro - Posições vendidas;27256959;18388155;42101;;2026-07-30
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2026-01-31;Opções - Posições titulares;66968302;123220020;677351;;2026-07-30
